day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
56,5208778470.210279,40755544.95955513,719755.0,3895071.6389119662,2986314.265729367,0.0,0.0,0.0
57,5208775963.096128,40813971.034138806,0.0,1925213.5535626411,1203264.4297349998,0.0,0.0,0.0
58,5208773455.981977,40842849.23744225,0.0,943354.6412456941,538387.7578812973,0.0,0.0,0.0
59,5208770948.867826,40856999.557060935,0.0,462243.7742103901,248446.4575551799,0.0,0.0,0.0
60,5208768441.753675,40863933.21367409,21592650.0,19136699.44936309,22448676.70106004,0.0,0.0,0.0
61,5208765934.639524,41150983.70541454,2131560.7000729106,9539630.701166527,7853949.480537904,0.0,0.0,0.0
62,5208763427.525373,41294078.16593204,0.0,4734358.890343492,3157754.6039545895,0.0,0.0,0.0
63,5208760920.411222,41365093.54928719,0.0,2350247.2837204584,1398347.095245821,0.0,0.0,0.0
64,5208758413.297071,41400347.258543,0.0,1151621.1690230246,636079.4157685864,0.0,0.0,0.0
65,5208755906.1829195,41417621.57607835,0.0,564294.372821282,296945.7154560477,0.0,0.0,0.0
66,5208753399.068769,41426085.99167067,0.0,276504.2426824282,141083.44109229546,0.0,0.0,0.0
67,5208750891.954618,41430233.555310905,0.0,135487.07891438983,67804.8982908744,0.0,0.0,0.0
68,5208748384.8404665,41432265.86149462,10076570.0,8891148.66866805,10454215.203809222,0.0,0.0,0.0
69,5208745877.7263155,41565633.091524646,0.0,4403298.7107905615,3143445.304584988,0.0,0.0,0.0
70,5208743370.6121645,41631682.57218651,0.0,2161603.0470867027,1350731.1067925205,0.0,0.0,0.0
71,5208740863.4980135,41664106.61789281,12235835.0,11781620.413075482,13262181.989028249,0.0,0.0,0.0
72,5208738356.3838625,41840830.92408894,0.0,5864432.910445889,4095045.2881722488,0.0,0.0,0.0
73,5208735849.2697115,41928797.41774563,0.0,2886015.145941193,1774955.943763276,0.0,0.0,0.0
74,5208733342.1555605,41972087.64493474,0.0,1414147.4215111847,798433.0788274638,0.0,0.0,0.0
75,5208730835.0414095,41993299.85625741,0.0,698651.7762507703,372617.58529998537,0.0,0.0,0.0
76,5208728327.9272585,42003779.63290117,14395100.0,12955859.738000313,15067123.41507566,0.0,0.0,0.0
77,5208725820.813107,42198117.52897117,5038285.0,10882858.038654953,9791425.581391305,0.0,0.0,0.0
78,5208723313.698956,42361360.399551,0.0,5396357.642586979,3553826.78644778,0.0,0.0,0.0
79,5208720806.5848055,42442305.7641898,719755.0,3307506.5084673096,2323788.655544574,0.0,0.0,0.0
80,5170205968.306923,42491918.36181681,47503830.0,43256193.25423365,50087742.6279847,1405.7000874761954,38512331.16373138,0.0
81,5186992560.9047985,43140761.26063032,10621470.84484934,22226215.77589372,20966506.24363754,0.0,0.0,0.0
82,5188007027.538286,43474154.49726872,32388975.0,39478407.88794686,41388504.011110485,0.0,0.0,0.0
83,5188919794.743273,44066330.61558793,8271240.950447891,22255668.8815135,19234085.238394868,0.0,0.0,0.0
84,5189741032.66798,44400165.64881063,2159265.000000001,13008481.972504549,9649036.458400559,0.0,0.0,0.0
85,5190479900.198902,44595292.8783982,17274120.0,21631244.132162582,26301863.00245943,0.0,0.0,0.0
86,5191144646.524023,40460232.25254082,840742.7066219058,10792093.083045486,7628878.59174424,0.0,0.0,0.0
87,5191742702.527623,40622113.6487865,0.0,5349702.168947433,3270982.4505485636,0.0,0.0,0.0
88,5192280763.033724,40702359.18132071,0.0,2627386.0416759877,1477195.2997955715,0.0,0.0,0.0
89,5192764860.813518,40741769.97194585,0.0,1304780.6081846894,693692.5158443896,0.0,0.0,0.0
90,5193200433.180606,40761341.68106862,0.0,639342.4980104978,328343.287797536,0.0,0.0,0.0
91,5193592381.915449,40770931.81853878,0.0,313277.8240251439,157418.3975309282,0.0,0.0,0.0
92,5193945127.186311,40775630.98589916,0.0,153506.13377232052,76094.07074319547,0.0,0.0,0.0
93,5194262656.067221,40777933.577905744,0.0,75218.00554843705,36973.81145007798,0.0,0.0,0.0
94,5194548566.193447,40779061.84798897,0.0,36856.822718734154,18023.482646311866,0.0,0.0,0.0
95,5194806105.040877,40779614.70032975,16554365.0,14516248.411359366,17129834.856597614,0.0,0.0,0.0
96,5195038205.267095,40997358.42650014,12162389.5,17343564.205679685,17408953.202881142,0.0,0.0,0.0
97,5195247516.508135,41257511.88958534,33108730.0,37651623.081294134,40152731.0883656,0.0,0.0,0.0
98,5195436433.985489,41822286.23580475,5575821.200221155,18785528.518798318,15723627.099909145,0.0,0.0,0.0
99,5195607124.242496,42104069.16358673,0.0,9342403.813304624,6236068.519929273,0.0,0.0,0.0
100,5195761548.297282,42244205.220786296,0.0,4631810.888835913,2757929.0822283765,0.0,0.0,0.0
101,5195901482.470764,42313682.38411883,0.0,2285648.9977198816,1261990.0042370304,0.0,0.0,0.0
102,5196028537.122289,42347967.119084634,28790200.0,26333568.00888274,30364615.556410994,0.0,0.0,0.0
103,5196144173.502286,42742970.639217876,4260891.84941306,13105296.01192834,11379345.012122635,0.0,0.0,0.0
104,5196249718.910327,42939550.0793968,29509955.0,32396588.005964167,34991753.52432319,0.0,0.0,0.0
105,5196346380.328153,43425498.89948626,32603431.5,40781554.00298208,42492853.94387548,0.0,0.0,0.0
106,5196435256.680263,44037222.20953099,6159385.548333287,20997691.350268412,17604461.82977557,0.0,0.0,0.0
107,5196517349.859397,44352187.57978501,0.0,10447303.178963332,6961509.47184917,0.0,0.0,0.0
108,5196593574.640503,44508897.127469465,0.0,5182876.251499121,3082065.2109926594,0.0,0.0,0.0
109,5196664767.594407,44586640.271241955,0.0,2591438.1257495605,5886022.586817408,0.0,0.0,0.0
110,5196731695.10129,40166847.816004,2159265.0,3160824.681617285,2900163.291195786,0.0,0.0,0.0
111,5196795060.554036,40214260.18622826,0.0,1562345.401375735,989010.0158506524,0.0,0.0,0.0
112,5196855510.832546,40237695.36724889,0.0,765549.2466741102,440673.13349196967,0.0,0.0,0.0
113,5196913642.121923,40249178.60594901,0.0,375119.13087031397,202747.30312861013,0.0,0.0,0.0
114,5196970005.140229,40254805.39291206,0.0,187559.56543515698,97210.7466330035,0.0,0.0,0.0
115,5159021209.779963,40257618.78639359,47503830.0,41696219.78271758,49176759.90183711,1387.1423520036278,38003900.05489391,0.0
116,5175512354.371005,40883062.08313435,16377112.027568866,26486323.024191767,26494500.172683164,0.0,0.0,0.0
117,5176582940.891228,41280356.92849723,543008.0981698316,13188288.475373395,9730818.660047617,0.0,0.0,0.0
118,5177551931.220357,41478181.25562783,0.0,6545500.700571008,4147767.0597159034,0.0,0.0,0.0
119,4421077434.319251,41576363.7661364,95007660.0,86477630.3502855,100138050.48587015,27643.364151760325,757352442.5139815,0.0
120,4941927884.109716,42873528.22139069,24878094.13503988,43842927.09937572,43370013.14051167,0.0,0.0,0.0
121,4943660648.665077,43531172.127881326,3087784.3986556306,21860549.524645098,17510574.311223026,0.0,0.0,0.0
122,4945227290.297848,43859080.370751,0.0,10866066.601610277,7188115.419379249,0.0,0.0,0.0
123,4946644898.849356,44022071.36977515,0.0,5391481.540370293,3190290.4823590717,0.0,0.0,0.0
124,4947928991.291084,44102943.59288071,7917305.0,9629480.770185146,9668294.75412364,0.0,0.0,0.0
125,4949093678.017103,44247385.80443349,0.0,4810666.938141833,3176691.9391739424,0.0,0.0,0.0
126,4162825368.003707,44319545.80850562,100045945.0,90022593.46907093,104889143.37475194,28737.415215112887,787326444.2496681,0.0
127,3784769971.3153634,45669884.71054168,113503893.5,121912776.73453546,140139828.09997964,33582.50776912133,920068706.0033242,0.0
128,4420718451.921919,42931587.890505545,29710092.164512664,60933316.32598618,58782247.19916236,0.0,0.0,0.0
129,4423429181.995909,43845587.63539534,4536354.5009461865,30404617.342909772,24297788.68787642,0.0,0.0,0.0
130,4425884107.101636,44301656.895538986,0.0,15142703.097321521,9982858.060123183,0.0,0.0,0.0
131,4428110730.836164,44528797.44199881,0.0,7511462.912312089,8887533.374047916,0.0,0.0,0.0
132,4430134272.530454,40188589.64148361,0.0,3713110.4719366697,2038336.8141022867,0.0,0.0,0.0
133,4431977921.805165,40244286.29856266,25191425.0,23918455.235968333,27025144.26000854,0.0,0.0,0.0
134,4433663066.922914,40603063.12710219,3203381.775081672,11921957.327668333,9924355.732629146,0.0,0.0,0.0
135,4435209499.569283,40781892.487017214,0.0,5891433.405780218,3939838.0416623233,0.0,0.0,0.0
136,4436635598.431301,40870263.98810392,0.0,2886802.3688323065,1724847.0008413442,0.0,0.0,0.0
137,4437958493.704814,40913566.0236364,0.0,1414533.1607278301,783472.9385403002,0.0,0.0,0.0
138,4439194214.448622,40934784.02104732,2879020.0,3228626.5803639153,3349791.1981526897,0.0,0.0,0.0
139,4440357820.511078,40983213.41975278,28070445.0,26196994.96852589,30110342.751737915,0.0,0.0,0.0
140,4441463520.581846,41376168.34428067,4084359.704458121,13080134.995843505,11282090.882814018,0.0,0.0,0.0
141,4442524777.765843,41572370.36921832,0.0,6470068.214186578,4415232.721606559,0.0,0.0,0.0
142,4443554403.93625,41669421.39243112,0.0,3222624.8914561626,1946147.9636740596,0.0,0.0,0.0
143,4444564643.997406,41717760.76580296,0.0,1579086.1968135196,880809.2728499032,0.0,0.0,0.0
144,4445567251.074865,41741447.05875516,0.0,773752.2364386246,409755.5748913368,0.0,0.0,0.0
145,4446573553.547752,41753053.34230174,0.0,379138.59585492604,194227.9410552203,0.0,0.0,0.0
146,4447594514.746638,41758740.42123956,0.0,185777.91196891377,93206.00392459752,0.0,0.0,0.0
147,4428375906.792021,41761527.0899191,0.0,91031.17686476775,45081.23576531467,0.0,0.0,0.0
148,4441613973.677097,41762892.55757207,0.0,44605.2766637362,21912.893677682747,0.0,0.0,0.0
149,4450850582.560053,41763561.63672202,719755.0,652642.6383318681,755285.4799396873,0.0,0.0,0.0
150,4251182724.2883754,41773351.276296996,61179175.0,53905221.31916593,63502982.97990009,7331.080662039458,200851524.9873824,0.0
151,4137330204.566842,42581929.59608448,65112919.12468127,71681092.37048042,79055574.55405502,8962.791240344204,245555924.3929919,0.0
152,4301515120.240505,43657145.98164169,25998007.073223583,45282297.6251751,44495952.60489926,0.0,0.0,0.0
153,4304841908.8772745,44336380.446019314,7061129.78589271,25774186.8758502,21530752.901079323,0.0,0.0,0.0
154,4308071470.767658,44722993.24915707,0.0,12826695.059224408,12931082.869232504,0.0,0.0,0.0
155,4311232476.085033,40443094.35012973,0.0,6368889.654911928,3760262.4148101723,0.0,0.0,0.0
156,4314351703.776445,40538627.69495341,0.0,3184444.827455964,1745861.0209695087,0.0,0.0,0.0
157,4317454246.319242,40586394.36736525,35987750.0,33109222.41372798,38051894.45455408,0.0,0.0,0.0
158,4320563693.290144,41083032.70357117,6428006.475060735,16501716.299898745,14834237.118150063,0.0,0.0,0.0
159,4323702295.869929,41330558.448069654,38866770.0,42289218.14994937,45926321.89278217,0.0,0.0,0.0
160,4326891114.194098,41964896.7203189,7316635.044455845,21118997.22334166,18306069.50256564,0.0,0.0,0.0
161,4330150149.268416,42281681.67866902,1439510.0,11814093.174202241,8660350.192038774,0.0,0.0,0.0
162,4268899973.2680855,42458893.076282054,0.0,5888233.490978121,3615696.7438895954,0.0,0.0,0.0
163,4308671731.191541,42547216.57864673,0.0,2910322.3270690604,1639477.3788580562,0.0,0.0,0.0
164,4340535070.4418125,42590871.41355276,0.0,1452730.8898338538,772965.7966382876,0.0,0.0,0.0
165,4344257677.120287,42612662.37690027,0.0,726048.2768970658,372650.8088157375,0.0,0.0,0.0
166,4348138337.596731,42623553.10105373,4318530.0,4137803.6556795626,4645009.991360786,0.0,0.0,0.0
167,4327895724.195134,42685620.15588892,0.0,2027523.7912829858,1417048.6042791074,0.0,0.0,0.0
168,4356436278.859341,42716033.012758166,0.0,993486.6577286631,611950.8986504595,0.0,0.0,0.0
169,4312249866.214818,42730935.3126241,0.0,496339.6526930878,279757.69245176495,0.0,0.0,0.0
170,4272302285.404048,42738380.407414496,0.0,243206.42981961303,129665.00673119751,0.0,0.0,0.0
171,4370448068.803216,42742028.50386179,0.0,119171.15061161038,61310.97452723659,0.0,0.0,0.0
172,4375593132.561287,42743816.07112097,40306280.0,35358625.575305805,41715507.2939675,0.0,0.0,0.0
173,4380998433.706532,43274195.45475056,8463671.88997107,18279036.834766787,17206905.47683068,0.0,0.0,0.0
174,4362325921.024214,43548381.007272065,0.0,9136482.946209721,6486844.6680037975,0.0,0.0,0.0
175,4392643392.574276,43685428.25146521,0.0,4547944.356640891,2822448.144698457,0.0,0.0,0.0
176,4280152404.837872,43753647.41681482,51102605.0,47028112.178320445,54139212.946003705,2704.4770430586777,74095261.45366241,0.0
177,4292704947.5127997,44459069.09948963,16762850.74936916,28550239.832113303,28024394.755115017,0.0,0.0,0.0
178,4316631159.959637,44887322.69697133,33086935.90399489,42628493.76378423,48478696.19062349,0.0,0.0,0.0
179,4328750014.307124,41038017.83373096,15677830.51501774,30133730.085827902,27833367.13758296,0.0,0.0,0.0
180,4377438586.616979,41490023.78501838,37810609.15450532,47844545.04291395,49057851.31110197,0.0,0.0,0.0
181,2332848310.0268774,42207691.96066209,212873112.7463516,204199512.52145696,232644255.57794374,75239.0471028653,2061343756.2428849,0.0
182,3173391144.2761793,45270684.64848395,99848213.82390547,137398796.26072848,148180167.027448,20054.294068785563,549432714.2133031,0.0
183,3431556891.27256,42804598.12754648,65208709.708144605,103354655.6714784,103853230.37638795,6962.509104572087,190753674.0978654,0.0
184,1031100250.5225773,44354917.96261866,311052247.3970592,310736481.3989183,371842918.1337854,89964.78484291038,2464788625.833161,0.0
185,2469563566.0688586,49686125.85822526,90423697.91815943,134277657.34486246,150035141.59005916,10879.596872964832,298071147.20451593,0.0
186,2639881484.495617,46731678.132575676,41519360.36731208,83526159.0545955,87405739.30007794,0.0,0.0,0.0
