day,daily_total_gdp,dam_storage,downstream_storage,upstream_storage,river_discharge_downstream,houses_damaged_by_inundation,financial_damage_by_innundation,financial_damage_by_flood
22,5208863712.091415,40795324.79185378,0.0,12304.50978561314,5994.746167789872,0.0,0.0,0.0
23,5208861204.977265,40795509.359500565,8637060.0,7570232.2548928065,8935610.761299541,0.0,0.0,0.0
24,5208858697.863113,40909062.84332395,0.0,3774168.2047125637,2694180.0145885525,0.0,0.0,0.0
25,5208856190.748962,40965675.36639464,0.0,1870085.6015235963,1166104.0473298319,0.0,0.0,0.0
26,5208853683.634811,40993726.65041749,0.0,916341.9447465622,522159.60237934894,0.0,0.0,0.0
27,5208851176.520661,41007471.77958869,0.0,449007.55292581546,241088.7909222004,0.0,0.0,0.0
28,5208848669.406509,41014206.89288258,0.0,224266.49128029868,115765.28659689882,0.0,0.0,0.0
29,5208846162.292358,41017570.890251786,3598775.0,3263833.2456401493,3778407.9356332584,0.0,0.0,0.0
30,5208843655.178207,41066528.388936386,0.0,1621147.4697833015,1146763.6662942371,0.0,0.0,0.0
31,5208841148.064056,41090845.600983135,0.0,794362.2601938177,493417.8392288023,0.0,0.0,0.0
32,5208838640.949905,41102761.03488604,0.0,389237.50749497063,221225.83404550096,0.0,0.0,0.0
33,5208836133.835754,41108599.59749846,0.0,192216.66687526883,102958.77630763744,0.0,0.0,0.0
34,5208833626.721603,41111482.84750159,11516080.0,10181548.333437635,11959691.049579192,0.0,0.0,0.0
35,5208831119.607452,41264206.07250316,0.0,5070586.353470479,3611718.413791764,0.0,0.0,0.0
36,5208828612.493301,41340264.86780521,0.0,2531662.1630565138,1573601.3587899837,0.0,0.0,0.0
37,5208826105.379149,41378239.80025106,0.0,1265589.164429069,717534.3076603708,0.0,0.0,0.0
38,5208823598.264998,41397223.63771749,0.0,620138.6905702439,331884.33380024997,0.0,0.0,0.0
39,5208821091.150847,41406525.71807604,0.0,303867.9583794195,156711.08047612297,0.0,0.0,0.0
40,5208818584.036696,41411083.73745173,20153140.0,17801453.97918971,20919265.71610564,0.0,0.0,0.0
