2023/1/1,0
2023/1/2,0
2023/1/3,0
2023/1/4,0
2023/1/5,0
2023/1/6,0
2023/1/7,3.5
2023/1/8,0
2023/1/9,0
2023/1/10,0
2023/1/11,0
2023/1/12,0.5
2023/1/13,29.5
2023/1/14,22.5
2023/1/15,0.5
2023/1/16,1
2023/1/17,0
2023/1/18,0.5
2023/1/19,0
2023/1/20,0
2023/1/21,0
2023/1/22,10.5
2023/1/23,3.5
2023/1/24,2
2023/1/25,0
2023/1/26,0
2023/1/27,0
2023/1/28,0
2023/1/29,0
2023/1/30,1
2023/1/31,0
2023/2/1,0
2023/2/2,0
2023/2/3,0
2023/2/4,0
2023/2/5,0
2023/2/6,4
2023/2/7,7
2023/2/8,0
2023/2/9,0
2023/2/10,8.5
2023/2/11,0
2023/2/12,12
2023/2/13,3
2023/2/14,0
2023/2/15,0
2023/2/16,0
2023/2/17,0
2023/2/18,6
2023/2/19,19.5
2023/2/20,0
2023/2/21,0
2023/2/22,0
2023/2/23,0
2023/2/24,4.5
2023/2/25,0.5
2023/2/26,0
2023/2/27,0
2023/2/28,0
2023/3/1,15
2023/3/2,0
2023/3/3,0
2023/3/4,0
2023/3/5,0
2023/3/6,0
2023/3/7,0
2023/3/8,0
2023/3/9,7
2023/3/10,0
2023/3/11,0
2023/3/12,8.5
2023/3/13,0
2023/3/14,0
2023/3/15,0
2023/3/16,0
2023/3/17,10
2023/3/18,3.5
2023/3/19,0
2023/3/20,0.5
2023/3/21,33
2023/3/22,0.5
2023/3/23,22.5
2023/3/24,2
2023/3/25,1.5
2023/3/26,12
2023/3/27,0
2023/3/28,0
2023/3/29,0
2023/3/30,0
2023/3/31,0
2023/4/1,0
2023/4/2,0
2023/4/3,0
2023/4/4,0
2023/4/5,11.5
2023/4/6,8
2023/4/7,23
2023/4/8,0
2023/4/9,0
2023/4/10,0
2023/4/11,0
2023/4/12,20
2023/4/13,0
2023/4/14,20.5
2023/4/15,19.5
2023/4/16,0.5
2023/4/17,0
2023/4/18,0
2023/4/19,0
